code,file_size,pricesens,link,time,notices,pages
AD1,348.6KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942888,22/01/2018 12:31 PM,Results of Meeting,2
ECG,121.0KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942887,22/01/2018 12:29 PM,Agreement to acquire Jessica's Suitcase Pty Ltd,3
SMG,121.1KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942886,22/01/2018 12:27 PM,Results of Meeting,1
CDC,79.3KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942885,22/01/2018 12:26 PM,Release of CDC Securities from Voluntary Escrow,1
HAR,28.4KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942884,22/01/2018 12:24 PM,Cancel - Consolidation/Split - HAR,3
FET,337.4KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942883,22/01/2018 12:23 PM,Appendix 3Y,2
PKA,75.3KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942882,22/01/2018 12:23 PM,Ceasing to be a substantial holder,2
DAE,1.5MB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942881,22/01/2018 12:21 PM,DA3T Investor Report - Jan 2017,50
FET,689.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942880,22/01/2018 12:20 PM,Appendix 3B,12
YTM,34.1KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942879,22/01/2018 12:19 PM,Dividend/Distribution - YTMF07,4
JRV,275.3KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942878,22/01/2018 12:19 PM,Results of Meeting,1
TCL,36.1KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942877,22/01/2018 12:19 PM,Update - Dividend/Distribution - TCL,4
KAS,566.6KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942876,22/01/2018 12:19 PM,Director Appointment/Resignation,2
IHR,294.4KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942875,22/01/2018 12:18 PM,Terms & conditions of Performance Rights Plan,17
CYP,222.4KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942874,22/01/2018 12:17 PM,Encouraging Early Data-Cynata Clinical Trial Proceeds,3
IHR,161.9KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942873,22/01/2018 12:08 PM,Terms & conditions of ESOP,17
IHR,323.5KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942872,22/01/2018 12:07 PM,Securities Trading Policy,7
SHK,870.4KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942871,22/01/2018 12:06 PM,Response to ASX appendix 3Y query,4
PRU,321.0KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942870,22/01/2018 12:05 PM,December quarterly conference call,1
IHR,471.0KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942869,22/01/2018 12:05 PM,Constitution,55
IHR,13.3KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942868,22/01/2018 12:03 PM,Top 20 Holders List,2
